"start","end","radiations"
1592413200,1592416800,358.24
1592416800,1592420400,406.8
1592420400,1592424000,290.08
1592424000,1592427600,145.92
1592427600,1592431200,64.16
1592431200,1592434800,19.6266666666667
1592434800,1592438400,0
1592438400,1592442000,0
1592442000,1592445600,0
1592445600,1592449200,0
1592449200,1592452800,0.8
1592452800,1592456400,19.04
1592456400,1592460000,65.52
1592460000,1592463600,145.04
1592463600,1592467200,244.48
1592467200,1592470800,365.04
1592470800,1592474400,495.84
1592474400,1592478000,623.12
1592478000,1592481600,743.2
1592481600,1592485200,766.88
1592485200,1592488800,863.6
1592488800,1592492400,849.04
1592492400,1592496000,777.44
1592496000,1592499600,563.92
1592499600,1592503200,500.72
1592503200,1592506800,396.32
1592506800,1592510400,279.28
1592510400,1592514000,143.04
